"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
127,Malta,121420,,885,,120149,,386,,273448,1993,2170600,4888375,444033,Europe,4,502,0,,,869
128,Barbados,110578,,648,,108647,,1283,,383921,2250,814159,2826715,288023,North America,3,444,0,,,4455
129,Angola,107327,,1937,,103419,,1971,,3064,55,1499795,42818,35027343,Africa,326,18083,23,,,56
130,Channel Islands,101717,,228,,101321,,168,,576421,1292,1252808,7099551,176463,Europe,2,774,0,,,952
131,DRC,99338,,1468,,84489,,13381,,1043,15,846704,8890,95240792,Africa,959,64878,112,,,140
132,French Guiana,98041,,420,,11254,,86367,6,312065,1337,651257,2072951,314169,South America,3,748,0,,,274906
133,Malawi,89535,,2686,,N/A,N/A,N/A,N/A,4437,133,624784,30959,20180839,Africa,225,7513,32,,,16
134,Senegal,89053,,1971,,87024,,58,,5044,112,1146543,64946,17653671,Africa,198,8957,15,,,3
135,Ivory Coast,88384,,835,,87497,,52,,3186,30,1690934,60951,27742298,Africa,314,33224,16,,,2
136,Suriname,82588,,1408,,N/A,N/A,N/A,,138378,2359,242207,405822,596831,South America,7,424,2,,,52623
137,New Caledonia,80064,,314,,N/A,N/A,N/A,N/A,275214,1079,98964,340182,290915,Australia/Oceania,4,926,3,,,498
138,French Polynesia,79254,,650,,N/A,N/A,N/A,N/A,278902,2287,,,284164,Australia/Oceania,4,437,,,,158725
139,Eswatini,75191,,1427,,73116,,648,,63462,1204,1048704,885119,1184817,Africa,16,830,1,,,547
140,Guyana,74137,,1300,,72013,,824,,93366,1637,733218,923396,794045,South America,11,611,1,,,1038
141,Belize,71409,,688,,N/A,N/A,N/A,N/A,173243,1669,576016,1397453,412190,North America,6,599,1,,,1543
142,Fiji,69117,,885,,67226,,1006,,75997,973,672883,739866,909466,Australia/Oceania,13,1028,1,,,1106
143,Madagascar,68486,,1426,,66862,,198,,2347,49,531329,18210,29178077,Africa,426,20461,55,,,7
144,Cabo Verde,64477,,417,,63755,,305,23,113580,735,401622,707482,567678,Africa,9,1361,1,,,537
145,Sudan,63993,,5046,,58947,,0,,1391,110,562941,12240,45992020,Africa,719,9115,82,,,
146,Mauritania,63848,,997,,62471,,380,,13025,203,1009957,206030,4901981,Africa,77,4917,5,,,78
147,Bhutan,62697,,21,,61564,,1112,,79571,27,2303734,2923739,787941,Asia,13,37521,0,,,1411
148,Syria,57743,,3165,,54578,,0,,2982,163,146269,7553,19364809,Asia,335,6118,132,,,
149,Burundi,54721,,38,,53569,,1114,,4334,3,345742,27386,12624840,Africa,231,332233,37,,,88
150,Seychelles,51220,,172,,51048,,0,,515157,1730,,,99426,Africa,2,578,,,,
151,Gabon,49051,,307,,48674,,70,,21038,132,1621909,695641,2331533,Africa,48,7595,1,,,30
152,Andorra,48015,,165,,N/A,N/A,N/A,N/A,619844,2130,249838,3225256,77463,Europe,2,469,0,,,3705
153,Papua New Guinea,46864,,670,,46168,,26,N/A,5043,72,249149,26813,9292169,Australia/Oceania,198,13869,37,,,3
154,Curaçao,45986,,295,,44720,,971,3,277812,1782,496693,3000640,165529,North America,4,561,0,,,5866
155,Aruba,44224,,292,,42438,,1494,2,410969,2714,177885,1653068,107609,North America,2,369,1,,,13884
156,Tanzania,43223,,846,,N/A,N/A,N/A,N/A,683,13,,,63298550,Africa,1464,74821,,,,667
157,Mauritius,43025,,1051,,41278,,696,,33752,824,358675,281374,1274727,Africa,30,1213,4,,,546
158,Mayotte,42027,,188,,N/A,N/A,N/A,,146815,657,176919,618038,286259,Africa,7,1523,2,,,135804
159,Togo,39572,,290,,39281,,1,,4559,33,815204,93908,8680837,Africa,219,29934,11,,,0.1
160,Guinea,38572,,468,,37757,,347,N/A,2782,34,660107,47607,13865691,Africa,359,29628,21,,,25
161,Bahamas,38084,,844,,36366,,874,1,95087,2107,257839,643767,400516,North America,11,475,2,,,2182
162,Isle of Man,38008,,116,,N/A,N/A,N/A,,443335,1353,150753,1758422,85732,Europe,2,739,1,,,129450
163,Lesotho,36138,,723,,25980,,9435,,16610,332,431221,198199,2175699,Africa,60,3009,5,,,4337
164,Haiti,34667,,860,,33734,,73,,2968,74,132422,11337,11680283,North America,337,13582,88,,,6
165,Faeroe Islands,34658,,28,,N/A,N/A,N/A,N/A,703959,569,778000,15802409,49233,Europe,1,1758,0,,,547133
166,Mali,33164,,743,,32332,,89,,1544,35,804909,37483,21473764,Africa,648,28901,27,,,4
167,Cayman Islands,31472,,37,,8553,,22882,1,467797,550,222773,3311280,67277,North America,2,1818,0,,,340116
168,Saint Lucia,30215,,410,,29805,,0,,163225,2215,210983,1139752,185113,North America,6,451,1,,,
169,Benin,28036,,163,,27847,,26,,2193,13,604310,47268,12784726,Africa,456,78434,21,,,2
170,Macao,27673,,123,,3487,,24063,,41458,184,7850,11760,667490,Asia,24,5427,85,,,36050
171,Somalia,27334,,1361,,13182,,12791,,1623,81,400466,23778,16841795,Africa,616,12375,42,,,759
172,Micronesia,26547,,65,,N/A,N/A,N/A,N/A,225953,553,82430,701598,117489,Australia/Oceania,4,1808,1,,,162271
173,San Marino,26185,,128,,26011,,46,N/A,768226,3755,196855,5775414,34085,Europe,1,266,0,,,1350
174,Solomon Islands,25954,,199,,N/A,N/A,N/A,N/A,35989,276,,,721159,Australia/Oceania,28,3624,,,,13032
175,Congo,25375,,386,,24006,,983,,4377,67,347815,59991,5797805,Africa,228,15020,17,,,170
